DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-26,8042,8680,2021,4,26,Abril,12.9,Residencial,120018
2021-04-12,8036,764,2021,4,12,Abril,12.9,Residencial,95782
2021-04-03,8027,1261,2021,4,3,Abril,12.9,Residencial,159473
2021-04-03,8003,387,2021,4,3,Abril,12.9,Residencial,118646
2021-04-30,8027,2484,2021,4,30,Abril,12.9,Residencial,173747
2021-04-16,8013,504,2021,4,16,Abril,12.9,Residencial,238902
2021-04-11,8023,478,2021,4,11,Abril,12.9,Residencial,145042
2021-04-05,8007,747,2021,4,5,Abril,12.9,Residencial,154426
2021-04-07,8001,485,2021,4,7,Abril,12.9,Residencial,122740
2021-04-28,8023,492,2021,4,28,Abril,12.9,Residencial,129093
2021-04-17,8025,426,2021,4,17,Abril,12.9,Residencial,200808
2021-04-01,8023,619,2021,4,1,Abril,12.9,Residencial,111011
2021-04-19,8037,401,2021,4,19,Abril,12.9,Residencial,56684
2021-04-14,8020,448,2021,4,14,Abril,12.9,Residencial,143590
2021-04-05,8039,10204,2021,4,5,Abril,12.9,Residencial,15678
2021-04-19,8009,510,2021,4,19,Abril,12.9,Residencial,82730
2021-04-18,8017,873,2021,4,18,Abril,12.9,Residencial,170520
2021-04-15,8034,1257,2021,4,15,Abril,12.9,Residencial,179252
2021-04-10,8027,1814,2021,4,10,Abril,12.9,Residencial,209946
2021-04-17,8010,534,2021,4,17,Abril,12.9,Residencial,52031
2021-04-02,8028,461,2021,4,2,Abril,12.9,Residencial,233912
2021-04-30,8001,423,2021,4,30,Abril,12.9,Residencial,107498
2021-04-16,8010,476,2021,4,16,Abril,12.9,Residencial,54591
2021-04-08,8040,9902,2021,4,8,Abril,12.9,Residencial,53053
2021-04-09,8042,10783,2021,4,9,Abril,12.9,Residencial,125175
2021-04-09,8027,3402,2021,4,9,Abril,12.9,Residencial,198975
2021-04-02,8034,1050,2021,4,2,Abril,12.9,Residencial,127320
2021-04-09,8019,598,2021,4,9,Abril,12.9,Residencial,166790
2021-04-23,8008,539,2021,4,23,Abril,12.9,Residencial,53813
2021-04-20,8004,411,2021,4,20,Abril,12.9,Residencial,136255
2021-04-29,8012,289,2021,4,29,Abril,12.9,Residencial,118693
2021-04-03,8024,376,2021,4,3,Abril,12.9,Residencial,155694
2021-04-02,8018,376,2021,4,2,Abril,12.9,Residencial,143916
2021-04-28,8006,399,2021,4,28,Abril,12.9,Residencial,154136
2021-04-18,8029,396,2021,4,18,Abril,12.9,Residencial,225640
2021-04-25,8028,482,2021,4,25,Abril,12.9,Residencial,276839
2021-04-26,8021,493,2021,4,26,Abril,12.9,Residencial,176044
2021-04-07,8032,378,2021,4,7,Abril,12.9,Residencial,162109
2021-04-26,8040,9880,2021,4,26,Abril,12.9,Residencial,54421
2021-04-15,8029,498,2021,4,15,Abril,12.9,Residencial,239991
2021-04-10,8019,557,2021,4,10,Abril,12.9,Residencial,170762
2021-04-28,8015,367,2021,4,28,Abril,12.9,Residencial,182790
2021-04-16,8023,584,2021,4,16,Abril,12.9,Residencial,141662
2021-04-20,8038,602,2021,4,20,Abril,12.9,Residencial,123571
2021-04-07,8002,413,2021,4,7,Abril,12.9,Residencial,104680
2021-04-03,8040,6433,2021,4,3,Abril,12.9,Residencial,40228
2021-04-01,8015,395,2021,4,1,Abril,12.9,Residencial,166799
2021-04-22,8042,5724,2021,4,22,Abril,12.9,Residencial,122335
2021-04-03,8021,500,2021,4,3,Abril,12.9,Residencial,119142
2021-04-11,8022,849,2021,4,11,Abril,12.9,Residencial,130339
2021-04-22,8035,1273,2021,4,22,Abril,12.9,Residencial,98325
