"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Regne Unit",36
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Regne Unit",74
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Regne Unit",22
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Regne Unit",51
2021,4,"Les Corts",19,"les Corts","Dones","Regne Unit",97
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Regne Unit",89
2021,4,"Les Corts",21,"Pedralbes","Dones","Regne Unit",40
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Regne Unit",23
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Regne Unit",111
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Regne Unit",40
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Regne Unit",283
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Regne Unit",94
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Regne Unit",49
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Regne Unit",13
2021,6,"Gràcia",29,"el Coll","Dones","Regne Unit",57
2021,6,"Gràcia",30,"la Salut","Dones","Regne Unit",15
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Regne Unit",28
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Regne Unit",9
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Regne Unit",4
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Regne Unit",296
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Regne Unit",4
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Regne Unit",6
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Regne Unit",0
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Regne Unit",9
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Regne Unit",20
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Regne Unit",14
