"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"08111","809","866","273","201","924","277","1153","29","493","05-12-2021 11:00:05"
"08112","866","869","297","196","954","288","1169","31","535","05-12-2021 11:00:05"
"08113","866","934","305","233","936","326","1278","31","491","05-12-2021 11:00:05"
"08114","986","1000","317","219","1077","373","1396","33","557","05-12-2021 11:00:05"
"08115","857","869","287","197","945","297","1170","35","521","05-12-2021 11:00:05"
"08116","705","732","241","155","780","261","1200","34","203","05-12-2021 11:00:05"
"08215","679","920","312","131","835","321","1301","41","257","05-12-2021 11:00:05"
"09001","1449","1311","509","351","1587","313","1660","81","1019","05-12-2021 11:00:05"
"09002","1095","1070","358","261","1229","317","1427","80","658","05-12-2021 11:00:05"
"09003","1133","1067","362","244","1229","365","1523","76","601","05-12-2021 11:00:05"
"09004","784","770","228","177","886","263","1124","33","397","05-12-2021 11:00:05"
"09005","865","894","260","184","1028","287","1445","55","259","05-12-2021 11:00:05"
"09006","626","644","189","135","723","223","1101","28","141","05-12-2021 11:00:05"
"09007","646","699","206","167","762","210","1112","19","214","05-12-2021 11:00:05"
"09008","937","931","452","236","1059","121","1738","29","101","05-12-2021 11:00:05"
"09009","659","735","222","160","699","313","1280","18","96","05-12-2021 11:00:05"
"09010","874","935","197","202","961","449","1618","15","176","05-12-2021 11:00:05"
"09011","812","847","222","189","898","350","1457","25","177","05-12-2021 11:00:05"
"09013","981","1053","355","242","1143","294","1543","45","446","05-12-2021 11:00:05"
"09014","1695","1376","344","342","2009","376","1616","113","1342","05-12-2021 11:00:05"
"09015","888","952","250","221","1059","310","1415","50","375","05-12-2021 11:00:05"
"09016","616","687","118","115","732","338","1230","11","62","05-12-2021 11:00:05"
"09017","721","791","198","178","861","275","1374","29","109","05-12-2021 11:00:05"
"09018","708","759","192","126","792","357","1391","18","58","05-12-2021 11:00:05"
"09019","1300","1368","411","232","1486","539","2499","47","122","05-12-2021 11:00:05"
"09020","515","604","112","92","573","342","1046","13","60","05-12-2021 11:00:05"
"09021","651","759","170","124","768","348","1256","43","111","05-12-2021 11:00:05"
"09022","611","667","170","119","687","302","1153","26","99","05-12-2021 11:00:05"
"09023","613","613","169","114","691","252","1124","40","62","05-12-2021 11:00:05"
"09024","531","664","156","94","649","296","1097","19","79","05-12-2021 11:00:05"
"09025","569","663","160","117","702","253","1084","28","120","05-12-2021 11:00:05"
"09026","697","798","167","113","821","394","1363","37","95","05-12-2021 11:00:05"
"09027","616","669","119","96","671","399","1201","15","69","05-12-2021 11:00:05"
"09028","763","804","286","205","864","212","1533","16","18","05-12-2021 11:00:05"
"09029","519","577","117","87","574","318","999","14","83","05-12-2021 11:00:05"
"09030","681","776","243","130","801","283","1369","18","70","05-12-2021 11:00:05"
"09031","579","600","195","168","610","206","1124","14","41","05-12-2021 11:00:05"
"09032","1032","1141","408","236","1256","273","1881","42","250","05-12-2021 11:00:05"
"09033","1560","1667","418","247","1863","699","2797","79","351","05-12-2021 11:00:05"
"09034","660","745","144","126","711","424","1217","25","163","05-12-2021 11:00:05"
"09035","739","816","181","119","847","408","1353","42","160","05-12-2021 11:00:05"
"09036","649","737","135","117","720","414","1297","21","68","05-12-2021 11:00:05"
"09037","836","824","191","229","868","372","1333","20","307","05-12-2021 11:00:05"
"09038","801","952","258","153","960","382","1597","26","130","05-12-2021 11:00:05"
"09039","715","809","167","130","865","362","1371","37","116","05-12-2021 11:00:05"
"09040","751","855","246","135","915","310","1431","33","142","05-12-2021 11:00:05"
"09041","632","748","175","123","755","327","1252","41","87","05-12-2021 11:00:05"
"09042","563","698","140","93","730","298","1115","40","106","05-12-2021 11:00:05"
"09043","629","704","154","117","734","328","1146","49","138","05-12-2021 11:00:05"
"09044","753","785","205","144","863","326","1360","47","131","05-12-2021 11:00:05"
"09045","642","767","188","115","776","330","1283","23","103","05-12-2021 11:00:05"
"09046","633","706","172","101","740","326","1208","43","88","05-12-2021 11:00:05"
"09047","742","831","206","135","923","309","1408","48","117","05-12-2021 11:00:05"
"09048","629","727","157","109","712","378","1226","25","105","05-12-2021 11:00:05"
"09049","598","705","156","109","714","324","1078","17","208","05-12-2021 11:00:05"
"09050","717","789","171","131","849","355","1327","49","130","05-12-2021 11:00:05"
"09051","633","666","146","115","731","307","1133","55","111","05-12-2021 11:00:05"
"09052","570","631","146","96","658","301","1081","28","92","05-12-2021 11:00:05"
"09053","771","876","204","138","877","428","1488","41","118","05-12-2021 11:00:05"
"09054","506","580","113","96","578","299","970","24","92","05-12-2021 11:00:05"
"09055","814","924","231","121","856","530","1425","38","275","05-12-2021 11:00:05"
"09056","528","586","83","70","547","414","995","17","102","05-12-2021 11:00:05"
"09057","811","890","190","151","980","380","1303","70","328","05-12-2021 11:00:05"
"09058","729","815","244","165","881","254","1288","39","217","05-12-2021 11:00:05"
"09059","688","727","182","102","789","342","1240","48","127","05-12-2021 11:00:05"
"09060","620","725","157","120","750","318","1155","38","152","05-12-2021 11:00:05"
"09061","763","837","227","152","876","345","1480","41","79","05-12-2021 11:00:05"
"09062","702","761","234","122","866","241","1252","63","148","05-12-2021 11:00:05"
"09063","550","603","123","96","696","238","1010","58","85","05-12-2021 11:00:05"
"09064","542","609","119","84","637","311","1022","28","101","05-12-2021 11:00:05"
"09065","961","1134","229","181","1139","546","1696","64","335","05-12-2021 11:00:05"
"09066","677","750","170","100","819","338","1257","54","116","05-12-2021 11:00:05"
"09067","688","825","173","118","867","355","1221","47","245","05-12-2021 11:00:05"
"09068","750","783","175","134","853","371","1346","50","137","05-12-2021 11:00:05"
"09069","419","510","108","82","489","250","790","10","129","05-12-2021 11:00:05"
"09070","821","943","193","150","1000","421","1329","59","376","05-12-2021 11:00:05"
"09071","885","1033","216","168","1042","492","1514","47","357","05-12-2021 11:00:05"
"09072","651","785","173","121","803","339","1122","67","247","05-12-2021 11:00:05"
"09073","698","785","115","115","826","427","1307","31","145","05-12-2021 11:00:05"
"09074","790","880","213","159","942","356","1416","66","188","05-12-2021 11:00:05"
"09075","747","789","201","130","881","324","1275","41","220","05-12-2021 11:00:05"
"09076","676","796","188","106","884","294","1254","46","172","05-12-2021 11:00:05"
"09077","741","882","200","145","912","366","1394","56","173","05-12-2021 11:00:05"
"09078","670","776","154","139","842","311","1198","56","192","05-12-2021 11:00:05"
"09079","764","853","173","142","910","392","1384","54","179","05-12-2021 11:00:05"
"09080","639","700","137","113","755","334","1131","56","152","05-12-2021 11:00:05"
"09081","814","933","207","168","976","396","1482","63","202","05-12-2021 11:00:05"
"09082","952","1056","267","180","1217","344","1624","104","280","05-12-2021 11:00:05"
"09083","760","868","207","151","870","400","1383","50","195","05-12-2021 11:00:05"
"09084","795","902","202","125","981","389","1416","86","195","05-12-2021 11:00:05"
"09085","853","951","204","170","1051","379","1493","93","218","05-12-2021 11:00:05"
"09086","694","812","182","153","832","339","1175","64","267","05-12-2021 11:00:05"
"09087","632","689","141","112","706","362","1106","75","140","05-12-2021 11:00:05"
"09088","858","1067","208","149","1062","506","1598","66","261","05-12-2021 11:00:05"
"09089","663","824","177","111","807","392","1221","51","215","05-12-2021 11:00:05"
